tweets,time,hashtags
"@brill_inst IM🙏🏻SORRY,in writing I felt HE GAVE HIS LIFE 4 HIS CAUSE.Throughout History 
Brave men have knowingly RISKED their Lives 4 The causes they believed in.I know he was “KILLED”On Balcony of His Motel .Medgar Evers knew he was in constant Danger Of Death,but risked his life Anyway",2020-01-21 00:44:04,[]
"Martin Luther King Jr. Is A Hero To All Ppl Of Good Will. He Gave His Life Trying To Right 
A Wrong,A Dark Cloud That Rains Down Hatred &amp; Pain Across America 2 THIS DAY. HOW CAN WE BE THE LAND OF THE FREE TILL ALL PPL ARE TREATED WITH RESPECT. THERE IS NO EQUALITY IN🇺🇸",2020-01-20 23:50:37,[]
Why⁉️ https://t.co/yE9ZzkLCet,2020-01-20 09:26:36,[]
@BabautaBrandon @ChelseaSwan7 A Cutie🧚🏻‍♀️,2020-01-20 07:17:14,[]
"@CherMakesScents I Miss Both Of Them SO MUCH.
We Are Lost Without Them.
They were The Soul Of  The Democratic Party.💔
Elijah Cummings &amp; John Lewis
Are HEROES Forevermore 🙏🏻",2020-01-20 04:05:51,[]
@soofiisooph WHOA....WHO IS THE GREATEST ACTRESS EVER.... WITH THE HOT BOD⁉️,2020-01-20 02:48:14,[]
"National Archives Apologizes
For blurring Signs Which Were Carried during”Women’s March.
What I Want 2 Know Is,WHO COULD MAKE THEM COMPROMISE THE VALUE
SYSTEM THEY’VE ADHERED 2
FOR 75 YEARS😳⁉️WHO WANTED IT DONE,WHO
WAS POWERFUL ENOUGH 2
GET IT DONE⁉️WHO WAS PETTY ENOUGH⁉️ https://t.co/W0XCFoaqRu",2020-01-20 02:40:33,[]
"I appreciate,&amp; All Your ♥️ &amp;  support, but Taking RESPONSIBILITY,&amp; Being
ACCOUNTABLE Is a MUST. Saying you’re sorry &amp; meaning it
Keeps you grounded. https://t.co/UzoWDWDohB",2020-01-19 20:36:31,[]
"@CherIsTheCure Do you ♥️Art,&amp; Fashion⁉️
If So “Remember”.
Stress is part of life.learn how to
React to it. Easier said than done,Trust Me I Know. I Have Major Work Friday....Stress Won’t Help me do a better job.
When we feel afraid...breathe,&amp; Let Fear wash over us.",2020-01-19 19:56:48,[]
"@_mollyyy_2501_ I’ve Always Had Stage Fright Until I Actually”Get On stage”.
What I Think of Right Before 
The lights Hit Me.
“This is Where I’m Supposed To Be”.I was given a gift to Share...I Can Make Ppl Happy,Make Them Forget Worries For 90 mins.Its Not a Big Deal,but it Helps",2020-01-19 19:45:44,[]
@cherpaulyfamily 👍🏻,2020-01-19 19:09:15,[]
"When I proposed Question About Elisabeth Warren &amp;
Bernie Sander’s Argument I Was Wrong.All I Caused Was Upset,
&amp; Division,&amp; For That I’m Truly Sorry.I Have a Responsibility 2 Ppl who come on my site,&amp; I Fell Well Beneath It. We Have enough Angst Without Me Adding More💔",2020-01-19 19:04:12,[]
@JTomb25 I wholeheartedly agree,2020-01-19 17:42:09,[]
"@BetsyNevil3 @DollyParton Yes🥰
Dolly was doing my special 
(Also Rod Stewart)&amp; we Laughed The Whole Time. She was so Precious. In one Song she played an angel😇",2020-01-19 17:39:19,[]
"@Annette80995626 I’m So so Sorry .
I’ll get on it🙏🏻",2020-01-19 17:27:48,[]
"@bono_cher @DollyParton @DollyParton 
HAPPY🎂DEAR ,BEAUTIFUL TALENTED,FRIEND. YOU ARE
AN AMERICAN ICON AND I’VE ADMIRED YOU SINCE THE DAY I MET YOU AT SANDY’S
♥️
Me",2020-01-19 17:19:49,[]
"https://t.co/AcLPTJs8lr via @NYTimes .Can’t stop thinking about this.Who In trump’s Orbit Got The National Archives To Soil It’s Reputation.Did Other Presidents Ask 4 Signs They Didn’t Like,To Be Defaced⁉️ I Think trump Is Suffering From Some Sort Of Mental Problem",2020-01-19 08:16:13,[]
"https://t.co/AcLPTJs8lr via @NYTimes &amp; NATIONAL 
ARCHIVES...SHAME ON YOU.
WHERE IS YOUR MORAL COMPASS⁉️THIS IS HOW IT https://t.co/C36XAzqhjP ARE SUPPOSED TO RECORD HISTORY,INSTEAD YOU ARE HIS ACCOMPLICES. YOU BEAR THE BLAME.WOMEN SUPPRESSING WOMEN.STAND UP 4 US,WE’RE CITIZENS",2020-01-19 02:20:11,[]
"@geridavis @dllynnnnn PPL ARE PPL.THEY GET CONFUSED,DISAPPOINTED, ANGRY.THATS HAPPENED TO THE SMARTEST POLITICIANS. I WAS NOT TAKING SIDES....JUST CURIOUS.",2020-01-19 02:04:11,[]
"@Tooscie @japansa Not unless All gop suddenly get
Amnesia,Or Moral Compass &amp; Conscience Transplants.
DEMS Have passed 💯💯💯Of bills that will never see the light of day. Do Ppl Not Know This.
Politicians promise &amp;🤞🏻",2020-01-19 01:54:47,[]
@Dovebyrd @USNatArchives Need to rewrite I was in the Middle of changing words around,2020-01-19 01:44:19,[]
"https://t.co/AcLPTJs8lr via @NYTimes 
ALL KIDDING ASIDE.THIS IS BEGINNING OF DICTATORSHIP. THE LEADER OF THE FREE🌎CANT BARE 2 SEE”WOMEN CARRYING SIGNS THAT DON’T 💋HIS MAMMOTH ASS⁉️TOO FKNG BAD trump‼️YOU’RE A DANGER 2 OUR KIDS,COUNTRY, 🌎.2 MORE IQ POINTS,&amp; VOILA IMBECILE",2020-01-19 01:27:26,[]
"https://t.co/AcLPTJs8lr via @NYTimes 
Is trump a”Fairy Princess”OR PRESIDENT OF THE UNITED STATES,Is He Ariel From”The Little Mermaid”OR COMMANDER IN CHIEF,Is trump”Bambi”OR AIR FORCE ONE’S PRIMARY PASSENGER⁉️Apparently trump CANT”BARE”SIGNS THAT DONT SAY NICE THINGS ABOUT HIM",2020-01-19 00:55:55,[]
"@10peeps3 @Trinijasgirl31_ Me,Kate,Vitus,&amp; Ron DuGuay=pro Hockey",2020-01-18 18:43:01,[]
"Putin is sending a message to the world with his shock announcement
https://t.co/n6lXy5arWj
PUTN IS NOW👑 OF RUSSIA.trump’s RE~ELECTION WILL MAKE HIM👑,&amp; 🇺🇸AS”WE KNOW IT”WILL CEASE 2 EXIST.
👑trump’s SHOWN 3 YRS OF ETHICAL&amp; INTELLECTUAL BANKRUPTCY.👑trump IS THE⚰️OF FREEDOM",2020-01-18 18:36:15,[]
@Trinijasgirl31_ Can’t really remember.. but hair is short....Hhmmm🤔,2020-01-18 05:37:37,[]
"Me &amp; Friend Joey(She’s Hidden)Are In Beautiful 
Arched Basement Of Church In Rhonda Spain. City Built Between 2 Mountains.Jail was in Bridge. 1 Guy Was Caretaker of Church’s Son. In nite They Had Flamenco Singing 
&amp; Dancing. In The Day HOMEMADE🍷SANGRIA.
IT TASTED LIKE PUNCH😱 https://t.co/TMqPMSsmVy",2020-01-18 05:34:41,[]
@10peeps3 @realDonaldTrump This is not real🤔,2020-01-18 05:03:38,[]
"@BetsyNevil3 NANCY PELOSI COULD KICK trump’s MAMMOTH ASS...ONE FOOT KICKING IT,THE OTHER TRYING ON👠👠.ONE ARM BEHIND HER BACK,THE OTHER BAKING 🍪🍪🍪.",2020-01-18 04:56:55,[]
@10peeps3 “LIFE WITH ELIZABETH “,2020-01-18 04:46:01,[]
"Who do you think should be PRES. VICE PRES.
HAVE YOU DONE RESEARCH OR IS IT JUST AN EMOTIONAL 
REACTION... DONT WANT TO GO AGAINST YOUR FRIENDS 
OR POLLS",2020-01-18 04:45:17,[]
"US military now says US troops injured in Iran attack - CNN Politics.
I BELIEVE NOTHING THIS GOV SAYS. trump’s A DEGENERATE LIAR &amp; SO ARE HIS GUTLESS MINIONS.
“NO🇺🇸TROOPS KILLED OR WOUNDED”PROMISED PRES.BONE SPURS.
#EverythingTrumpTouchesDies https://t.co/rvlzLRUYw6",2020-01-18 03:42:31,EverythingTrumpTouchesDies
"Trump Ordered to Pay $2 Million 2 Charities for Misuse of Foundation. trump STOLE💰
FROM HIS OWN CHARITY 2 PAY 4 HIS CAMPAIGN &amp; PORN⭐️. BY LAW HE’S NEVER ALLOWED 2 HAVE CHARITY AGAIN,BUT CAN BE🇺🇸PRES.HIS CHILDREN FORCED BY COURT 2LEARN HOW”NOT”2 STEAL
 https://t.co/oDsWmQ0xO5",2020-01-18 02:57:38,[]
@johnywishbone99 🙌🏻🥰👑,2020-01-16 05:04:16,[]
"@AlexxaMeL THIS IS NO LMAO…THIS IS 
HEART BREAKING 💔.ITS DEEP MEANNESS,&amp;  CANNOT BECOME THE NEW NORMAL.
DO MOTHERS WANT THEIR CHILDREN TO THINK THIS IS APPROPRIATE ⁉️GOD I HOPE NOT🙏🏻",2020-01-16 05:02:12,[]
@tommyomalley NEVER GONNA HAPPEN‼️,2020-01-16 04:46:12,[]
"@itschersworld @WendyWilliams THESE ARE THE PPL @WendyWilliams IS MAKING FUN OF. Joaquin Phoenix was a Child,&amp; We Dont Know What He Had To Go Through. HE IS ONE OF THE GREAT ACTORS OF OUR TIME,MAGNETIC,&amp;
MORE THAN HANDSOME‼️SHE WILL BE JUDGED FOR THIS 
FOREVER https://t.co/XhH8FZms3c",2020-01-16 02:17:51,[]
RT @itschersworld: @cher these kids go through more than most of us will ever be able to comprehend and they are brave and beautiful and so…,2020-01-16 02:09:10,[]
DOES AN APOLOGY MAKE UP FOR THIS https://t.co/Su0OHB8hTG,2020-01-16 02:07:34,[]
"@StefanoScibetta APOLOGIZED🤬
THERE IS NO APOLOGY FOR
WHAT SHE DID…. &amp; LAUGHED
ABOUT ‼️I KNOW THESE CHILDREN,&amp; ADULTS.THEY GO THROUGH HELL,THEIR PARENTS GO THROUGH HELL‼️Fk Her Apology.
SHE WANTS TO KEEP HER JOB‼️I CANT CONTAIN MY ANGER‼️",2020-01-16 02:05:41,[]
"BEFORE THEIR TEENS‼️MUCH OF THE TIME THEY ARE IN PAIN,AFRAID,BUT HAVE HOPE 🙏🏻THEY WILL LOOK NORMAL. THE💔&amp; FEAR THEIR PARENTS GO THROUGH IS UNBEARABLE. IF YOUR MOM SAW WHAT YOU DID SHE’D BE ASHAMED. MY MOM TAUGHT ME TO LOVE &amp; HELP PPL IN PAIN.WHO ARE U⁉️U SHOULD B FIRED",2020-01-16 01:58:55,[]
"@WendyWilliams I Was Going To Try &amp; Hold My Temper🤞🏻BUT IM SO F-NG ANGRY I CANT😤.
In 1985 I Made a Film Called
“MASK”‼️THROUGH THAT FILM I BECAME INVOLVED WITH CHILDREN,&amp; ADULTS WHO HAD CRANIOFACIAL 
ANOMALIES. YOU HAVE NO IDEA WHAT THESE PPL GO THROUGH‼️20+ OPERATIONS",2020-01-16 01:29:09,[]
Everything is GONE😡,2020-01-14 03:39:22,[]
My Tweetbot Page Just Went Blank😭,2020-01-14 03:36:39,[]
"Six Saudis Said 2Be Questioned After Pensacola Navy Base Shooting.WHY DID trump LET 💯SAUDIS STAY ON🇺🇸BASE⁉️DID GOV.LOOK ON LINE 2 SEE THEIR ANTI🇺🇸SYMPATHIES⁉️ONE KILLED,ANOTHER FILMED.19 SAUDIS BROUGHT DOWN TWIN TOWERS.NEVER 4GET.
trump♥️SAUDI💰 https://t.co/jxgXERUjr6",2020-01-14 03:32:22,[]
"NOW in UK free shipping for Cher Eau de Couture until Valentine’s Day‼️ FREE shipping in the US, $15 shipping to Canada @scentbeauty https://t.co/mbVIumvwnW",2020-01-14 01:51:11,[]
@babyimcherss 👏🏻🎂👑,2020-01-13 20:16:44,[]
